version,.agents (loc),.agents (bytes),.agents/personas (loc),.agents/personas (bytes),.agents/rules (loc),.agents/rules (bytes),.agents/scripts (loc),.agents/scripts (bytes),.agents/skills (loc),.agents/skills (bytes),.agents/workflows (loc),.agents/workflows (bytes)
1.84.0,174120,6709994,1302,59457,1064,48495,135478,4870229,13093,614297,13017,629922
1.85.0,176345,6803099,1302,59457,1195,56164,137355,4941860,13125,616427,13163,638745
1.86.0,177307,6838135,1302,59457,1228,58148,138176,4969114,13125,616427,13271,644543
1.87.0,178377,6887585,1302,59457,1240,59026,139002,5002523,13164,619171,13457,656485
1.88.0,178642,6903338,1302,59457,1240,59026,139062,5005984,13164,619171,13636,665779
1.89.0,185110,7163074,1311,60103,1317,63662,145117,5236526,13298,627224,13417,662954
1.90.0,185772,7191195,1311,60103,1317,63662,145773,5263541,13298,627224,13417,662954
1.91.0,186064,7203223,1311,60103,1317,63662,146038,5273846,13298,627224,13444,664677
1.92.0,185375,7163208,1311,60103,1317,63662,147546,5341916,13302,627542,11336,562074
1.93.0,185878,7184752,1311,60103,1317,63662,147951,5357998,13302,627542,11434,567536
1.94.0,182001,7016153,605,27937,1465,72477,150647,5462891,6349,324039,11910,593269
2.0.0,133857,5052611,0,0,1454,71890,110175,3951131,4784,212654,7702,374415
2.1.0,132106,5028163,0,0,1445,71087,108505,3921089,4795,214401,8049,392909
2.2.0,133546,5088986,0,0,1455,71720,109799,3973736,4795,214401,8167,399173
2.3.0,133546,5088986,0,0,1455,71720,109799,3973736,4795,214401,8167,399173
2.4.0,134195,5116997,0,0,1455,71720,110424,3999964,4795,214401,8191,400956
2.5.0,138665,5302047,0,0,1455,71720,113766,4119568,4795,214401,9178,460080
2.6.0,138372,5313597,0,0,1455,71720,113473,4131118,4795,214401,9178,460080
2.7.0,138604,5323437,0,0,1455,71720,113705,4140958,4795,214401,9178,460080
2.8.0,133888,5125105,0,0,1249,61628,113657,4138991,2592,141611,7627,388556
2.9.0,135785,5203193,0,0,1249,61628,115472,4211215,2592,141611,7662,390865
2.10.0,138322,5309404,0,0,1241,61459,118117,4318850,2592,141611,7584,388830
2.11.0,139194,5347303,0,0,1241,61459,118908,4352163,2592,141611,7658,393248
2.12.0,139647,5368233,0,0,1249,62135,119206,4364145,2592,141611,7805,401520
2.13.0,140954,5415236,0,0,1249,62135,120413,4405793,2592,141611,7904,406629
2.14.0,141216,5428733,0,0,1249,62135,120590,4413592,2592,141611,7935,408444
2.15.0,142887,5489940,0,0,1249,62135,122139,4470126,2592,141611,8058,413400
2.16.0,143621,5521295,0,0,1249,62135,122719,4493163,2592,141611,8211,421399
2.17.0,146517,5642151,0,0,1249,62135,125463,4604463,2592,141611,8211,421399
2.18.0,147306,5673048,0,0,1249,62135,126187,4630742,2592,141611,8211,421399
2.19.0,147413,5677912,0,0,1249,62135,126294,4635344,2592,141611,8211,421622
2.20.0,146982,5663823,0,0,1249,62135,125899,4621831,2592,141611,8227,422308
2.21.0,147824,5697826,0,0,1249,62135,126655,4651152,2592,141611,8303,426455
2.22.0,150146,5795830,0,0,1363,67704,128853,4742926,2592,141611,8311,426943
2.23.0,150409,5819748,0,0,1363,67704,129064,4763347,2592,141611,8356,429268
2.24.0,151645,5869827,0,0,1363,67704,130278,4811558,2592,141611,8373,430361
2.25.0,157077,6046259,0,0,1428,71573,135386,4965350,2592,141611,8587,445018
